Date	2022	2021	2020	2019
04-28-2022	2258077	1526681	154695	2499461
04-27-2022	1996601	1184326	119629	2256442
04-26-2022	1863020	1077199	110913	2102068
04-25-2022	2182717	1369410	119854	2412770
04-24-2022	2293427	1571220	128875	2506809
04-23-2022	1826772	1259724	114459	1990464
04-22-2022	2293242	1521393	123464	2521897
04-21-2022	2279905	1509649	111627	2526961
04-20-2022	2027836	1164099	98968	2254209
04-19-2022	1979882	1082443	92859	2227475
04-18-2022	2288902	1412500	99344	2594171
04-17-2022	2214519	1572383	105382	2356802
04-16-2022	1894331	1277815	97236	1988205
04-15-2022	2311092	1468218	106385	2457133
04-14-2022	2337501	1491435	95085	2616158
04-13-2022	2040285	1152703	90784	2317381
04-12-2022	1883294	1085034	87534	2208688
04-11-2022	2181446	1468972	102184	2484580
04-10-2022	2293548	1561495	90510	2446801
04-09-2022	1946502	1378237	93645	2059142
04-08-2022	2318977	1549181	108977	2590499
04-07-2022	2216218	1510829	104090	2487398
04-06-2022	1978691	1230939	94931	2229276
04-05-2022	1848862	1195306	97130	2091056
04-04-2022	2139084	1561959	108310	2384091
04-03-2022	2204115	1543474	122029	2462929
04-02-2022	1913117	1397958	118302	2011715
04-01-2022	2271659	1580785	129763	2476884
03-31-2022	2196867	1562239	124021	2411500
03-30-2022	1887350	1278113	136023	2151626
03-29-2022	1736292	1130520	146348	2026256
03-28-2022	2131678	1406234	154080	2360053
03-27-2022	2307110	1574228	180002	2510294
03-26-2022	2009500	1408198	184027	2172920
03-25-2022	2290587	1535156	199644	2538384
03-24-2022	2234353	1444744	203858	2487162
03-23-2022	1962056	1164954	239234	2273811
03-22-2022	1856872	1076453	279018	2151913
03-21-2022	2158280	1360290	331431	2434370
03-20-2022	2366751	1543136	454516	2542643
03-19-2022	2099056	1373259	548132	2227181
03-18-2022	2308212	1477841	593167	2559307
03-17-2022	2221946	1413141	620883	2513231
03-16-2022	1993734	1146539	779631	2320885
03-15-2022	1858773	1092548	953699	2177929
03-14-2022	2200172	1267345	1257823	2465709
03-13-2022	2288800	1345284	1519192	2545742
03-12-2022	1990954	1227484	1485553	2274658
03-11-2022	2297374	1409771	1714372	2634215
03-10-2022	2184044	1286894	1788456	2503924
03-09-2022	1844208	974221	1702686	2187298
03-08-2022	1644052	825745	1617220	2122898
03-07-2022	2017973	1119303	1909363	2378673
03-06-2022	2180940	1278557	2119867	2485430
03-05-2022	1830246	992406	1844811	2156262
03-04-2022	2132807	1168734	2198517	2543689
03-03-2022	2038115	1107534	2130015	2402692
03-02-2022	1738406	826924	1877401	2143619
03-01-2022	1635546	744812	1736393	1979558
02-28-2022	1979422	1049692	2089641	2257920
02-27-2022	2145281	1190682	2353150	2307393
02-26-2022	1840996	917282	1949696	2015079
02-25-2022	2098325	1096348	2441643	1861286
02-24-2022	1980803	1051149	2364727	2160322
02-23-2022	1752841	802230	2075554	2197938
02-22-2022	1780987	714725	1919803	2274217
02-21-2022	2215453	963280	2267382	2331841
