Date	Footfall_count
09-12-2019	2485134
09-13-2019	2405832
09-14-2019	2013050
09-15-2019	2146857
09-16-2019	2455410
09-17-2019	2571924
09-18-2019	1938402
09-19-2019	2517826
09-20-2019	2431388
09-21-2019	2033490
09-22-2019	2188236
09-23-2019	2510926
09-24-2019	2547611
09-25-2019	1966234
09-26-2019	2452596
09-27-2019	2368818
09-28-2019	1998980
09-29-2019	2082179
09-30-2019	2447687
10-01-2019	2526835
10-02-2019	1921185
10-03-2019	2542118
10-04-2019	2400153
10-05-2019	2035628
10-06-2019	2215233
10-07-2019	2605291
10-08-2019	2688032
10-09-2019	2074718
10-10-2019	2555333
10-11-2019	2616771
10-12-2019	2313632
10-13-2019	2317763
10-14-2019	2581007
10-15-2019	2637667
10-16-2019	2049855
10-17-2019	2606266
10-18-2019	2514673
10-19-2019	2126637
10-20-2019	2245199
10-21-2019	2541581
10-22-2019	2594337
10-23-2019	1931971
10-24-2019	2478287
10-25-2019	2347017
10-26-2019	1910506
10-27-2019	2066516
10-28-2019	2047910
10-29-2019	2319906
10-30-2019	1836781
10-31-2019	2459525
11-01-2019	2403304
11-02-2019	2005101
11-03-2019	2147882
11-04-2019	2507365
11-05-2019	2544350
11-06-2019	1908805
11-07-2019	2356349
11-08-2019	2465392
11-09-2019	2150003
11-10-2019	2072207
11-11-2019	2364920
11-12-2019	2437211
11-13-2019	1807230
11-14-2019	2396681
11-15-2019	2298856
11-16-2019	1900895
11-17-2019	2071631
11-18-2019	2428095
11-19-2019	2550459
11-20-2019	2194291
11-21-2019	2321546
11-22-2019	2254188
11-23-2019	2435170
11-24-2019	2624250
11-25-2019	1591158
11-26-2019	1968137
11-27-2019	2648268
11-28-2019	2882915
11-29-2019	2591470
11-30-2019	2280403
12-01-2019	2054380
12-02-2019	2262878
12-03-2019	2278205
12-04-2019	1755801
12-05-2019	2292079
12-06-2019	2226290
12-07-2019	1897051
12-08-2019	2020488
12-09-2019	2362310
12-10-2019	2388029
12-11-2019	1893871
12-12-2019	2300248
12-13-2019	2250386
12-14-2019	2009112
12-15-2019	2234374
12-16-2019	2471408
12-17-2019	2608088
12-18-2019	2487987
12-19-2019	2519399
12-20-2019	2490503
12-21-2019	1981433
12-22-2019	1937235
12-23-2019	2552194
12-24-2019	2582580
12-25-2019	2470786
12-26-2019	2575985
12-27-2019	2500396
12-28-2019	2009880
12-29-2019	2133253
12-30-2019	2392331
12-31-2019	2311732
01-01-2020	2178656
01-02-2020	2422272
01-03-2020	2210542
01-04-2020	1806480
01-05-2020	1815040
01-06-2020	2034472
01-07-2020	2072543
01-08-2020	1687974
01-09-2020	2183734
01-10-2020	1992453
01-11-2020	1691205
01-12-2020	1876782
01-13-2020	2242656
01-14-2020	2347075
01-15-2020	1781893
01-16-2020	2000260
01-17-2020	2298616
01-18-2020	1870459
01-19-2020	1801444
01-20-2020	2100401
01-21-2020	2145063
01-22-2020	1645196
01-23-2020	2136584
01-24-2020	2004609
01-25-2020	1643435
01-26-2020	1777171
01-27-2020	2085468
01-28-2020	2159047
01-29-2020	1658886
01-30-2020	1948138
01-31-2020	2054725
02-01-2020	1677798
02-02-2020	1843877
02-03-2020	2167857
02-04-2020	2271551
02-05-2020	1770241
02-06-2020	2224826
02-07-2020	2164951
02-08-2020	1814047
02-09-2020	2038375
02-10-2020	2415185
02-11-2020	2507588
02-12-2020	1972248
02-13-2020	2198657
02-14-2020	2494922
02-15-2020	2190300
02-16-2020	2129862
02-17-2020	2358511
02-18-2020	2429489
02-19-2020	1951535
02-20-2020	2380359
02-21-2020	2267382
02-22-2020	1919803
02-23-2020	2075554
02-24-2020	2364727
02-25-2020	2441643
02-26-2020	1949696
02-27-2020	2353150
02-28-2020	2089641
